name,Parent Language,Language Paradigms,Introduced
IPTSCRAE,,,
ISPF,,,
Visual J++,,,
JAL,,,
JOVIAL,,Procedural programming,1960
,,Structured programming,
,,Imperative programming,
Kiev programming language,,,
Kent Recursive Calculator,,Functional programming,1981
L programming language,,Functional programming,
Lagoona programming language,,,
LANSA,,,
Leadwerks Engine,,,
Limnor,,,
Lingo programming language,,,
Lisaac,,Object-oriented programming,2003
,,Prototype-based programming,
M4,,,
MAD programming language,,,
MapBasic,,,
MARK-IV,,,
Microassembler,,,
MicroScript programming language,,,
Moby programming language,,,
Model 204,,,
Mondrian programming language,,,
Mortran,,,
Napier88,,,
NATURAL,,,
NGL programming language,,,
Nickle programming language,,Multi-paradigm programming language,2001
NQC,,,
Object Lisp,,Object-oriented programming,
ObjectLOGO,,Object-oriented programming,
Obliq programming language,,Prototype-based programming,
,,Multi-paradigm programming language,
,,Parallel computing,
Occam-π,Occam,,
Opal programming language,,Functional programming,
Parsing,,,
Pawn,,,1998
PBASIC,,,
PCASTL,,Imperative programming,2008
Polymorphic Programming Language,,,
POP-11,,,
PowerBASIC,,,
Pro-IV,,,
Qt Script for Applications,ECMAScript,,
Quantum programming,,,
Ratfiv,,,
Ratfor,,,
Redcode,,,
Revolution programming language,,,
RPG programming language,,Multi-paradigm programming language,1959
RPL programming language,,Structured programming,1984
,,Stack-oriented programming language,
S2 programming language,,Object-oriented programming,
S-Lang,,,
SAM76,,,
Script.NET,,Imperative programming,
SETL,,Object-oriented programming,1969
,,Procedural programming,
,,Structured programming,
,,Imperative programming,
,,Multi-paradigm programming language,
SiMPLE,,,
SIMSCRIPT,,,
Slate programming language,,Prototype-based programming,2003
SLIP programming language,,,
Spice programming language,,,
Spin,,,
IBM 1620,,,
S/SL programming language,,,
Suneido programming language,,,
SYMPL,,,
SyncCharts,,,
TACL,,,
Tensilica Instruction Extension,,,
Transaction Application Language,,,
Text Editor and Corrector,,,
CA-Telon,,,
ThinBasic,,,
TI-BASIC,,,
TOM,,Object-oriented programming,
Text Processing Utility,,,
TRAC programming language,,,
TTCN,,,
D,,,
Uniface,,,
Unix shell,,,
Use,,,
Verilog,,,
VHSIC Hardware Description Language,,,
Visual Assembler,,,
Visual DataFlex,,,
WATFIV programming language,,,
WebQL,,,
Winbatch,,,
WinDev,,,
X10,,Parallel computing,2004
,,Concurrent computing,
XQuery,,Functional programming,
XPath,,,
Y programming language,,,
Z++,,Object-oriented programming,
Z notation,,,
ZOPL,,,
XAML,,,
MXML,,,
JavaFX,,,
Unified Modeling Language,,,
C--,,Imperative programming,
Language Integrated Query,,,
Lazy ML,,Lazy evaluation,
,,Functional programming,
SPITBOL compiler,SNOBOL,,
High Performance Fortran,,,
SGML,,,
eZ Template language,,,
TeX,,,
Alpha,,,
Communicating sequential processes,,,
X86 assembly language,,,
Bon programming language,,,
Lilith programming language,,,
Pop,,,
Object Query Language,,Database programming,
Digital Standard MUMPS,MUMPS,,
Micronetics Standard MUMPS,MUMPS,,
Parlog,,,
Raven,,Concatenative programming language,
Enchilada,,Concatenative programming language,
Staapl,,Concatenative programming language,
Short Code,,,
Tea programming language,,,
BitC,,Functional programming,
CHIP programming language,,,
L Sharp,,,
Programming language for Computable Functions,,Functional programming,
O:XML,,,
NWScript,,,2002-06-18
Thue,,,
Lithe programming language,,,
ProSet,,,
SETL2,,,
ConTeXt,,,
Hope programming language,,,
Agora programming language,,,
APLX,,,
FP84,,,
FFP programming language,,,
M2001,,,
ALGOL N,,,
NPL programming language,,,
POP-2,,,
Qu,,,
Unified Parallel C,C,Procedural programming,
,,Structured programming,
,,Parallel computing,
,,Imperative programming,
OBJ2,,,
Object Oberon,,Object-oriented programming,
Object-Oriented Turing,Turing programming language,Object-oriented programming,1991
,,Procedural programming,
,,Multi-paradigm programming language,
,,Concurrent computing,
ObjVlisp,,,
Le Lisp,,,
CHIP-8,,,
GameMonkey Script,,,
Apple Pascal,,,
KiXtart,,,
GNU Guile,,,
DG scripts,,,
Autocode,,,
Span programming language,,,
Converge,,,
SWI-Prolog,,,
CAL programming language,,,
CPython,,,
Twelf,,,
ZetaLisp,,,
SAC programming language,,Array programming,1994
,,Functional programming,
Franz Lisp,,,
Versus programming language,,,
Compact Application Solution Language,,,
Linoleum programming language,,Procedural programming,
Indus programming language,,,
SALSA programming language,,,
MacroML,,,
Prova,,,
Croma,,,2005
Fril,,Logic programming,1980
A Sharp,,,
Brown University Interactive Language,,,
IpTables Rope,,,
Nyquist,,,
Moscow ML,,,
Eager Haskell,,,
FAUST,,,
S-algol,,,
SCAR programming language,,,2003
HaXe,,Multi-paradigm programming language,2005
ARITH-MATIC,,,
Shakespeare,,,
Oblog,,,
QUIKTRAN,,,
C*,C,Object-oriented programming,1987
,,Parallel computing,
,,Imperative programming,
,,Multi-paradigm programming language,
LYaPAS,,,
XPL0,,,
Net.Data,,,
JFugue,,,
Chomski,,,2007
Rpal,,,
Sigmac,,,
AIS Balise,,,
PROC procedure language,,,
Q,,Array programming,
,,Functional programming,
Join-calculus programming language,,,
PerlScript,,,
GAUSS,,,
Bsisith,,,
Microsoft Visual C Sharp,,,
Cobra,,,
COFFEE,,,
Texvc,,,
SimPy,,,
MATH-MATIC,,,
AMPLE,,,
C preprocessor,,,
Malbolge,,,
HAL/S,,,
Programming Language for Business,,,
RPG II,,,
AS/400 Control Language,,Imperative programming,
Subset-equational language,,,
MINC,,,
Draco,,,
PL-11,,,
Template Haskell,,,
MUF,,,
Message Parsing Interpreter,,,
Batch file,,,
Lispkit Lisp,,,
Cola programming language,,,
Jako,,,
Larch family,,,
Property Specification Language,,,
XyMTeX,,,
Iota and Jot,,,
ISLISP,Lisp,,
GNU Smalltalk,,,
SketchUp Ruby,,,
Arc,Lisp,Functional programming,2008
,,Procedural programming,
,,Multi-paradigm programming language,
Concurrent Euclid,,Functional programming,1980
,,Structured programming,
,,Imperative programming,
,,Multi-paradigm programming language,
Specification and Description Language,,,
Flapjax,,,
S-1 Lisp,,,
Ox programming language,,,
Turing Plus,Turing programming language,Object-oriented programming,1987
,,Procedural programming,
,,Multi-paradigm programming language,
,,Concurrent computing,
CFScript,,,
NORD Programming Language,,,
PC-LISP,,,
ECL programming language,,,
SA-C programming language,,,
Helium,Haskell,,
SenseTalk,,,
Blueprint,,Multi-paradigm programming language,2007
Assertion definition language,,,
ARC Macro Language,,,
Obol,,,
Quartz Composer,,,
PROGOL,,,
Concurrent Pascal,,,
Arbol,,,
OTcl,,,
DRAKON,,,
Omega,,,
Interactive ALGOL 68,,,
MiniD,,Multi-paradigm programming language,2006
BlooP and FlooP programming languages,,,
Dartmouth BASIC,,Imperative programming,1964
Lasso programming language,,Object-oriented programming,
,,Markup language,
,,Database programming,
KM programming language,,,
SabreTalk,,,
Strafunski,,Functional programming,
LOLCODE,,,2007
Protel,,,
S3,,Structured programming,
,,Imperative programming,
C/AL,,,
SISC,,,
Cool,,Object-oriented programming,1996
JAWS Scripting Language,,,
Smalltalk YX,,,
Nu,,Object-oriented programming,2007
,,Structured programming,
,,Imperative programming,
Armed Bear Common Lisp,,,
Euphoria programming language,,,
Abstract-Type and Scheme-Definition Language,,,
IronLisp,,,
LISP 2,,,
Kvikkalkul,,,
KISS,,,
Micro programming language,,,
Baby modula-3,,,
Escher,,,
Orwell,,,
CLPython,,,
VLISP,,,
Clojure,Lisp,Functional programming,2007
,,Concurrent computing,
,,Multi-paradigm programming language,
Lynx programming language,,,
Generalized Automation Language,,,
LSE,,,
PL360,,,
Python for S60,,Functional programming,2006
,,Object-oriented programming,
,,Imperative programming,
,,Multi-paradigm programming language,
Tiny programming language,,,
MST Workshop,,,
Tersus,,,
QUILL,,Object-oriented programming,
Boku,,,
XMTC,,,
Dript,,,
LIS programming language,,,
CGOL,,Procedural programming,1976
,,Structured programming,
,,Imperative programming,
CLforJava,,,
Id,,,
PGF/TikZ,,,
Fan,,Multi-paradigm programming language,2007
MVEL,,,
Turtle Talk,,,
Objective-J,,Functional programming,2008
,,Object-oriented programming,
,,Imperative programming,
,,Multi-paradigm programming language,
NS Basic,,,
PLEXIL,,Multi-paradigm programming language,2008
DECLAN Pro,,,2008
M,,,2008
MacRuby,,,
Scieneer Common Lisp,,,
Ioke,,,
PointDragon,,,
Kaya,,,2004
FACT computer language,,,
Pure,,Functional programming,
Scriptol,,Object-oriented programming,
Mudlle,,,
ATS,,Functional programming,
,,Imperative programming,
,,Multi-paradigm programming language,
ThingLab,,,
Lapis language,,,
Powerhouse programming language,,,
Fabrik,,,
Hot Soup Processor,,,1996
GNU m4,,,
Kaleidoscope programming language,,,
ΛProlog,,,
Lisp Machine Lisp,,,
SIMSCRIPT II.5,,,
Little b,,,
PLANC,,,
P Sharp,,,
XSB,,,
Variable Assembly Language,,,
Fuxi Programming Language,,Object-oriented programming,
,,Declarative programming,
Cadence SKILL,Lisp,Functional programming,1990
,,Object-oriented programming,
CLP,,,
Pnuts,,Object-oriented programming,1997
Not eXactly C,,,
Pict programming language,,,
XML,,,
Befunge97,Befunge,,
Befunge93,Befunge,,
Corba IDL,,Object-oriented programming,
ICON,,,
UNICON,ICON,expression-based,2002
tiscript,ECMAScript,Prototype-based programming,2007
ASP.NET,,,
Structured Audio Orchestra Language,,,
SAS language,,,
Microsoft Small Basic,,,
Cryptol,,,
Active Oberon,,,
Boomerang,,,2008
Bertrand,,,
Lightweight Java,,,
Ambi,,Procedural programming,2009
,,Stack-oriented programming language,
Falcon,,Functional programming,2003
,,Procedural programming,
,,Prototype-based programming,
,,Multi-paradigm programming language,
,,Object-oriented programming,
GOAL Agent Programming Language,,,
GScript,,,
AgentSpeak,,,
Babbage,,Procedural programming,
,,Structured programming,
QASL,,,
Smith,,,
Axum,,Object-oriented programming,2009
Web Language,,,
Macaulay2,,,
Universal Systems Language,,,
IronScheme,,,
CLACL,,Logic programming,2000
Whizbase,,,
Simgua,,,
OpenMusic,,,
Tiscript,,,
JEAN,,,
PS-Algol,,,
JSON,,,
Java,,Virtual machine,1995
,,Strongly-typed programming language,
,,Object-oriented programming,
,,Structured programming,
,,"Write once, run anywhere",
,,Imperative programming,
FileMaker,,,
XACML,,,
Go,,Concurrent computing,2009-11-10
,,Compiled language,
Paris,,,
Lite-C,,,
XHTML,,,
RDF,,,
Web Service Definition Language,,,
